Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
217,58,32,112,2024-05-09,3,225.00,t
218,191,18,78,2024-05-16,2,120.50,e
219,99,37,191,2024-05-11,1,35.75,t
220,18,44,10,2024-05-07,2,90.00,e
221,127,10,198,2024-05-12,3,255.25,t
222,70,27,33,2024-05-11,1,40.50,e
223,153,14,166,2024-05-08,2,125.00,t
224,41,40,129,2024-05-16,1,50.25,e
225,26,25,44,2024-05-15,3,205.00,t
226,197,4,77,2024-05-12,1,45.50,e
227,86,47,13,2024-05-17,2,120.75,t
228,164,22,112,2024-05-14,1,65.00,e
229,56,39,145,2024-05-19,3,255.25,t
230,13,13,10,2024-05-16,2,105.00,e
231,179,30,69,2024-05-09,1,55.75,t
232,135,5,122,2024-05-12,3,270.00,e
233,30,24,188,2024-05-19,2,130.25,t
234,79,3,95,2024-05-16,1,60.00,e
235,184,50,154,2024-05-14,2,95.75,t
236,9,8,31,2024-05-13,1,35.00,e
237,151,35,22,2024-05-10,3,205.50,t
238,38,46,110,2024-05-07,2,125.00,e
239,56,2,77,2024-05-06,1,60.75,t
240,119,29,155,2024-05-13,3,245.00,e
241,200,16,199,2024-05-16,2,105.50,t
242,94,42,66,2024-05-19,1,80.00,e
243,146,44,37,2024-05-15,3,295.25,t
244,23,7,53,2024-05-14,2,115.00,e
245,186,23,133,2024-05-11,1,50.25,t
246,75,19,101,2024-05-18,2,135.50,e
247,102,50,155,2024-05-17,1,75.00,t
248,20,10,188,2024-05-08,3,210.25,e
249,173,36,109,2024-05-07,2,95.00,t
250,36,15,37,2024-05-12,1,40.50,e
251,96,41,57,2024-05-09,3,180.00,t
252,115,26,176,2024-05-14,2,120.25,e
253,162,3,23,2024-05-13,1,55.00,t
254,50,48,168,2024-05-10,2,125.50,e
255,5,20,77,2024-05-17,1,60.25,t
256,132,37,123,2024-05-16,3,295.00,e
257,59,32,112,2024-05-09,3,225.00,t
258,192,18,78,2024-05-16,2,120.50,e
259,100,37,191,2024-05-11,1,35.75,t
260,19,44,10,2024-05-07,2,90.00,e
261,128,10,198,2024-05-12,3,255.25,t
262,71,27,33,2024-05-11,1,40.50,e
263,154,14,166,2024-05-08,2,125.00,t
264,42,40,129,2024-05-16,1,50.25,e
265,27,25,44,2024-05-15,3,205.00,t
266,198,4,77,2024-05-12,1,45.50,e
267,87,47,13,2024-05-17,2,120.75,t
268,165,22,112,2024-05-14,1,65.00,e
269,57,39,145,2024-05-19,3,255.25,t
270,14,13,10,2024-05-16,2,105.00,e
271,180,30,69,2024-05-09,1,55.75,t
272,136,5,122,2024-05-12,3,270.00,e
273,31,24,188,2024-05-19,2,130.25,t
274,80,3,95,2024-05-16,1,60.00,e
275,185,50,154,2024-05-14,2,95.75,t
276,10,8,31,2024-05-13,1,35.00,e
277,152,35,22,2024-05-10,3,205.50,t
278,39,46,110,2024-05-07,2,125.00,e
279,57,2,77,2024-05-06,1,60.75,t
280,120,29,155,2024-05-13,3,245.00,e
281,200,16,199,2024-05-16,2,105.50,t
282,95,42,66,2024-05-19,1,80.00,e
283,147,44,37,2024-05-15,3,295.25,t
284,24,7,53,2024-05-14,2,115.00,e
285,187,23,133,2024-05-11,1,50.25,t
286,76,19,101,2024-05-18,2,135.50,e
287,103,50,155,2024-05-17,1,75.00,t
288,21,10,188,2024-05-08,3,210.25,e
289,174,36,109,2024-05-07,2,95.00,t
290,37,15,37,2024-05-12,1,40.50,e
291,97,41,57,2024-05-09,3,180.00,t
292,116,26,176,2024-05-14,2,120.25,e
293,163,3,23,2024-05-13,1,55.00,t
294,51,48,168,2024-05-10,2,125.50,e
295,4,20,77,2024-05-17,1,60.25,t
296,134,37,123,2024-05-16,3,295.00,e
