Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
1336,34,45,136,2024-06-04,2,125.50,t
1337,179,4,65,2024-06-03,1,62.75,t
1338,68,6,57,2024-06-01,3,242.25,e
1339,106,2,99,2024-05-31,2,131.00,t
1340,42,32,159,2024-05-28,1,55.25,e
1341,132,7,16,2024-05-27,2,157.50,t
1342,123,34,126,2024-05-24,3,210.75,e
1343,43,8,18,2024-05-23,1,47.25,t
1344,176,31,169,2024-05-20,2,135.50,e
1345,57,17,184,2024-05-19,1,55.25,t
1346,104,12,14,2024-06-07,3,272.25,e
1347,37,42,179,2024-06-06,2,120.00,t
1348,90,18,150,2024-06-03,1,62.75,e
1349,83,46,45,2024-06-02,3,225.75,t
1350,66,13,178,2024-05-31,2,131.00,e
1351,187,19,67,2024-05-30,1,55.25,t
1352,54,39,39,2024-05-27,3,242.25,e
1353,80,10,197,2024-05-26,2,131.00,t
1354,60,35,61,2024-05-23,1,47.25,e
1355,167,4,27,2024-05-22,2,157.50,t
1356,48,44,178,2024-05-19,3,210.75,e
1357,126,1,7,2024-05-18,1,55.25,t
1358,112,30,120,2024-06-05,2,135.50,e
1359,171,16,17,2024-06-04,1,55.25,t
1360,5,6,163,2024-06-01,3,272.25,e
1361,13,43,22,2024-05-31,2,120.00,t
1362,104,18,183,2024-05-30,1,62.75,e
1363,85,27,89,2024-05-27,3,225.75,t
1364,193,33,98,2024-05-26,2,131.00,e
1365,45,7,154,2024-05-23,1,47.25,t
1366,89,38,42,2024-05-22,2,157.50,e
1367,78,14,182,2024-05-19,3,210.75,t
1368,143,2,61,2024-05-18,1,55.25,e
1369,77,19,37,2024-06-06,2,135.50,t
1370,54,45,89,2024-06-05,1,55.25,e
1371,185,23,159,2024-06-02,3,272.25,t
1372,40,5,49,2024-06-01,2,120.00,e
1373,3,31,143,2024-05-29,1,62.75,t
1374,178,20,33,2024-05-28,3,225.75,e
1375,64,10,156,2024-05-25,2,131.00,t
1376,26,36,87,2024-05-24,1,47.25,e
1377,148,8,43,2024-05-21,2,157.50,t
1378,91,3,109,2024-05-20,3,210.75,e
1379,22,29,142,2024-05-17,1,55.25,t
1380,150,14,6,2024-05-16,2,135.50,e
1381,177,40,160,2024-06-07,1,55.25,t
1382,67,24,57,2024-06-06,3,272.25,e
1383,12,1,123,2024-06-03,2,120.00,t
1384,130,27,198,2024-06-02,1,62.75,e
1385,20,9,78,2024-05-30,3,225.75,t
1386,161,12,92,2024-05-29,2,131.00,e
1387,46,38,152,2024-05-26,1,47.25,t
1388,193,4,178,2024-05-25,2,157.50,e
1389,87,25,52,2024-05-22,3,210.75,t
1390,111,39,122,2024-05-21,1,55.25,e
1391,65,15,64,2024-05-18,2,135.50,t
